time,btc,eth,ltc
2017-05-28 00:28:01,14300.0,1210.89,155.05
2017-05-28 00:29:02,14478.0,1210.0,154.2
2017-05-28 00:30:01,14478.0,1209.0,156.0
2017-05-28 00:31:01,14470.0,1210.0,156.49
2017-05-28 00:32:02,14470.0,1209.0,156.5
2017-05-28 00:33:01,14351.0,1210.0,157.2
2017-05-28 00:34:02,14470.0,1210.0,157.5
2017-05-28 00:35:01,14470.0,1214.99,158.0
2017-05-28 00:36:02,14471.0,1215.44,158.2
2017-05-28 00:37:02,14480.0,1221.0,162.0
2017-05-28 00:38:01,14551.0,1230.0,161.0
2017-05-28 00:39:01,14677.99,1240.0,161.98
2017-05-28 00:40:02,14810.0,1247.99,161.9
2017-05-28 00:41:02,14870.0,1250.99,161.6
2017-05-28 00:42:01,14929.0,1254.98,160.0
2017-05-28 00:43:01,14990.0,1240.38,157.5
2017-05-28 00:44:01,14990.0,1230.0,159.89
2017-05-28 00:45:01,14550.0,1240.0,158.99
2017-05-28 00:46:02,14700.0,1240.98,158.0
2017-05-28 00:47:01,14700.0,1251.0,158.0
2017-05-28 00:48:01,14700.0,1252.99,158.8
2017-05-28 00:49:02,14750.0,1252.97,158.79
2017-05-28 00:50:01,14760.0,1250.0,158.01
2017-05-28 00:51:02,14750.0,1249.99,157.6
2017-05-28 00:52:02,14710.0,1248.0,155.11
2017-05-28 00:53:02,14551.0,1230.01,155.0
2017-05-28 00:54:02,14600.0,1225.0,154.11
2017-05-28 00:55:02,14521.0,1225.3,153.01
2017-05-28 00:56:02,14500.0,1220.71,154.5
2017-05-28 00:57:02,14478.0,1239.99,156.0
2017-05-28 00:58:02,14479.0,1225.5,157.59
2017-05-28 00:59:02,14478.0,1225.0,155.01
2017-05-28 01:00:02,14479.0,1220.8,154.08
2017-05-28 01:01:02,14699.99,1223.99,152.0
2017-05-28 01:02:01,14500.0,1212.95,150.85
2017-05-28 01:03:02,14500.0,1200.21,153.0
2017-05-28 01:04:02,14478.0,1210.0,153.0
2017-05-28 01:05:02,14500.0,1201.01,152.02
2017-05-28 01:06:02,14478.0,1202.02,153.0
2017-05-28 01:07:02,14478.0,1203.03,153.5
2017-05-28 01:08:01,14490.0,1214.98,153.52
2017-05-28 01:09:02,14479.0,1218.98,153.0
2017-05-28 01:10:02,14478.0,1218.98,153.5
2017-05-28 01:11:02,14478.0,1215.99,153.0
2017-05-28 01:12:01,14478.0,1216.0,152.03
2017-05-28 01:13:02,14489.99,1214.98,151.1
